epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,511.762,1.07506,0.59317,1,0.89871,0.00011432,0.00011432,0.00011432
2,986.917,0.74061,0.79814,1,0.43896,0.00021888,0.00021888,0.00021888
3,1582.55,0.41565,0.90373,1,0.26946,0.000297975,0.000297975,0.000297975
4,2076.44,0.33762,0.88199,1,0.3417,0.000351605,0.000351605,0.000351605
5,2259.72,0.26184,0.93789,1,0.15627,0.000379771,0.000379771,0.000379771
6,2429.92,0.27508,0.88509,1,0.25939,0.000382472,0.000382472,0.000382472
7,2615.02,0.22611,0.95031,1,0.14279,0.000359708,0.000359708,0.000359708
8,2792.62,0.1942,0.97516,1,0.07269,0.000311479,0.000311479,0.000311479
9,2971.89,0.14677,0.97205,1,0.06516,0.000237786,0.000237786,0.000237786
10,3149.28,0.16213,0.97826,1,0.05394,0.000138627,0.000138627,0.000138627
